"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
"experiment"
"12/16/2014 14:01:25:153 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","cost","mutation_size","Neighborhood_size","baseline_fitness","payoff_assessment","mutation_probability","Mode","Game_Type","initial_propD","initial_heterogeneity","benefit","[step]","mean [strat_P_cur] of patches"
"72","0.5185185","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6416683573489409"
"73","0.5185185","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6455338653407321"
"74","0.5185185","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6439372532571127"
"75","0.5185185","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6613195498165896"
"76","0.5185185","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6545666755717028"
"77","0.5185185","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6380346033925088"
"78","0.5185185","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.642580245288107"
"79","0.5185185","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6235235241478809"
"80","0.5185185","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6365069736821708"
"81","0.5714286","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.59170132585729"
"82","0.5714286","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5911996947872543"
"83","0.5714286","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5796557383398678"
"84","0.5714286","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5869155819596696"
"85","0.5714286","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5948555027200644"
"86","0.5714286","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5806797779264953"
"87","0.5714286","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5857932715914405"
"88","0.5714286","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6041350841552899"
"89","0.5714286","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.599001901015285"
"90","0.5714286","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5933485291118396"
"92","0.6206897","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5243632631404033"
"93","0.6206897","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5425173000575658"
"91","0.6206897","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5491838951522822"
"94","0.6206897","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5467203045760178"
"95","0.6206897","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5382605973832815"
"96","0.6206897","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5361036022918755"
"97","0.6206897","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5329513623130422"
"98","0.6206897","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5456883829490341"
"99","0.6206897","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5414491564215345"
"100","0.6206897","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.5378772838112085"
"101","0.6666667","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.47492538602439516"
"102","0.6666667","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.48559947100861806"
"103","0.6666667","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.48787743289835966"
"104","0.6666667","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.49074356903088334"
"106","0.6666667","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.4884848041111019"
"105","0.6666667","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.510434372291088"
"107","0.6666667","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.4803412520123031"
