"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial.nlogo"
"experiment"
"12/10/2014 14:47:23:632 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","cost","baseline_fitness","benefit","strategy","mutation_rate","initial_propD","initial_heterogeneity","[step]","count patches with [ strategy_current = ""C"" ] / count patches","mean [probD ] of patches"
"123","0.75","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.4083044982698962","0.6053248309445355"
"124","0.75","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.380238369857747","0.6201752915241221"
"125","0.75","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.39984621299500195","0.6059820414773988"
"126","0.75","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.38946559015763166","0.6043592989978844"
"127","0.75","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.3829296424452134","0.6056549388180408"
"128","0.75","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.3775470972702807","0.6127636885859846"
"129","0.75","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.4017685505574779","0.6051190423968587"
"130","0.75","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.3917723952326028","0.5944264760670579"
"131","0.7878788","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.3464052287581699","0.6553407476016703"
"133","0.7878788","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.33948481353325644","0.6626161037031734"
"132","0.7878788","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.3264129181084198","0.6768023521357545"
"134","0.7878788","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.31410995770857364","0.6688259402588452"
"135","0.7878788","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.34486735870818913","0.6624545480500748"
"136","0.7878788","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.3175701653210304","0.6721302158028705"
"137","0.7878788","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.3294886582083814","0.6526979544210953"
"138","0.7878788","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.3391003460207612","0.6668789363862156"
"139","0.7878788","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.3460207612456747","0.6638313847660888"
"140","0.7878788","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.33833141099577085","0.6594151260486009"
"141","0.8235294","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.27950788158400613","0.7261592029869444"
"142","0.8235294","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.28719723183391005","0.7197778581333809"
"143","0.8235294","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.2952710495963091","0.7074359472553725"
"144","0.8235294","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.3037293348712034","0.7035717851097057"
"145","0.8235294","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.2768166089965398","0.6972046329413868"
"147","0.8235294","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.31103421760861205","0.6924787781504017"
"146","0.8235294","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.2879661668589004","0.7067303628109792"
"148","0.8235294","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.27873894655901577","0.7165383093767341"
"149","0.8235294","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.28143021914648214","0.7176294254356722"
"150","0.8235294","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.30103806228373703","0.7083586072006894"
"151","0.8571429","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.24183006535947713","0.7635845025288521"
"152","0.8571429","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.22760476739715493","0.768818594929248"
"153","0.8571429","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.24067666282199154","0.7668634527502197"
"154","0.8571429","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.2499038831218762","0.754600197705381"
"155","0.8571429","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.2295271049596309","0.7679510503754332"
"156","0.8571429","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.23414071510957324","0.7667826848322155"
"157","0.8571429","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.2433679354094579","0.7593158870978048"
"158","0.8571429","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.26105344098423683","0.7475863324639772"
"159","0.8571429","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.22837370242214533","0.7583858254296894"
"160","0.8571429","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.23106497500961168","0.7724061788629428"
"161","0.8888889","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.18031526336024606","0.8112161578168039"
"162","0.8888889","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.18800461361014995","0.8132000039932435"
"163","0.8888889","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.1780084582852749","0.811743244071288"
"164","0.8888889","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.19607843137254902","0.8109169273450607"
"165","0.8888889","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.1964628988850442","0.8141851803408716"
"166","0.8888889","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.1710880430603614","0.8275619576647565"
"167","0.8888889","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.15840061514801998","0.8310443851109961"
"168","0.8888889","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.18569780853517878","0.8088636486290043"
"169","0.8888889","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.18800461361014995","0.8197485070943845"
"172","0.9189189","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.1184159938485198","0.8706524212448761"
