"BehaviorSpace results (NetLogo 5.1.0)"
"Task2_HD_spatial.nlogo"
"experiment"
"12/10/2014 15:46:16:976 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","baseline_fitness","Neighborhood_size","cost","benefit","initial_propD","[step]","count patches with [ strategy_current = ""C"" ] / count patches"
"172","0","24","0.9189189","1","0.01","5000","0.0872"
"173","0","24","0.9189189","1","0.01","5000","0.0824"
"174","0","24","0.9189189","1","0.01","5000","0.0868"
"175","0","24","0.9189189","1","0.01","5000","0.0828"
"176","0","24","0.9189189","1","0.01","5000","0.0832"
"177","0","24","0.9189189","1","0.01","5000","0.0856"
"178","0","24","0.9189189","1","0.01","5000","0.084"
"179","0","24","0.9189189","1","0.01","5000","0.0896"
"181","0","24","0.9473684","1","0.01","5000","0.026"
"180","0","24","0.9189189","1","0.01","5000","0.088"
"182","0","24","0.9473684","1","0.01","5000","0.0272"
"183","0","24","0.9473684","1","0.01","5000","0.0208"
"184","0","24","0.9473684","1","0.01","5000","0.0276"
"185","0","24","0.9473684","1","0.01","5000","0.0272"
"186","0","24","0.9473684","1","0.01","5000","0.0304"
"187","0","24","0.9473684","1","0.01","5000","0.0248"
"191","0","24","0.974359","1","0.01","345","0"
"192","0","24","0.974359","1","0.01","549","0"
"193","0","24","0.974359","1","0.01","369","0"
"188","0","24","0.9473684","1","0.01","5000","0.0248"
"194","0","24","0.974359","1","0.01","376","0"
"195","0","24","0.974359","1","0.01","335","0"
"196","0","24","0.974359","1","0.01","349","0"
"189","0","24","0.9473684","1","0.01","5000","0.0308"
"197","0","24","0.974359","1","0.01","476","0"
"198","0","24","0.974359","1","0.01","357","0"
"199","0","24","0.974359","1","0.01","362","0"
"201","0","24","1","1","0.01","192","0"
"202","0","24","1","1","0.01","142","0"
"200","0","24","0.974359","1","0.01","401","0"
"203","0","24","1","1","0.01","204","0"
"204","0","24","1","1","0.01","163","0"
"205","0","24","1","1","0.01","215","0"
"207","0","24","1","1","0.01","152","0"
"206","0","24","1","1","0.01","238","0"
"208","0","24","1","1","0.01","170","0"
"209","0","24","1","1","0.01","159","0"
"210","0","24","1","1","0.01","181","0"
"190","0","24","0.9473684","1","0.01","5000","0.02"
