"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial.nlogo"
"experiment"
"12/14/2014 18:55:49:083 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","mutation_size","strategy","initial_propD","payoff_assessment","initial_heterogeneity","baseline_fitness","benefit","mutation_probability","cost","[step]","mean [probD] of patches","count patches with [strategy_current = ""C""] / count patches"
"61","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4615385","10000","0.19620749082815675","0.8027681660899654"
"63","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4615385","10000","0.19886893490108218","0.8100730488273741"
"62","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4615385","10000","0.17585012867475197","0.8212226066897347"
"64","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4615385","10000","0.21370581870229727","0.7935409457900807"
"65","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4615385","10000","0.19141722759985322","0.8116109188773548"
"66","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4615385","10000","0.21241241171621372","0.788158400615148"
"67","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4615385","10000","0.19245296013044463","0.8096885813148789"
"68","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4615385","10000","0.19599376076759886","0.8043060361399462"
"70","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4615385","10000","0.18711938397368952","0.8050749711649365"
"69","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4615385","10000","0.1832018986483223","0.829680891964629"
"71","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5185185","10000","0.2347809769686171","0.7620146097654749"
"72","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5185185","10000","0.193029558705041","0.8154555940023068"
"73","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5185185","10000","0.18699070149424907","0.8054594386774317"
"74","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5185185","10000","0.1964333234893528","0.7973856209150327"
"75","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5185185","10000","0.24443198614364067","0.7597078046905037"
"77","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5185185","10000","0.21970576426088917","0.7708573625528643"
"76","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5185185","10000","0.2139395616735182","0.7935409457900807"
"78","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5185185","10000","0.21287844654520643","0.7866205305651672"
"79","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5185185","10000","0.22700428124329083","0.7689350249903883"
"80","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5185185","10000","0.2045108850041585","0.790080738177624"
"82","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5714286","10000","0.19588808189197196","0.800076893502499"
"81","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5714286","10000","0.1956199179704197","0.8004613610149942"
"83","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5714286","10000","0.2128810364341307","0.8008458285274894"
"84","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5714286","10000","0.23755913315584137","0.7631680123029604"
"85","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5714286","10000","0.23868329308539885","0.7720107650903498"
"86","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5714286","10000","0.23347147299467005","0.7647058823529411"
"87","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5714286","10000","0.22174004418863605","0.7785467128027682"
"89","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5714286","10000","0.19165923560712878","0.7985390234525183"
"88","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5714286","10000","0.19787490652023643","0.7985390234525183"
"90","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.5714286","10000","0.2501678544265028","0.7447135717031911"
"91","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6206897","10000","0.2182676834900221","0.7962322183775471"
"92","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6206897","10000","0.20159784227194225","0.7916186082276048"
