"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
""
"12/16/2014 12:17:20:871 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","initial_heterogeneity","Neighborhood_size","initial_propD","mutation_size","cost","Mode","Game_Type","payoff_assessment","benefit","baseline_fitness","mutation_probability","[step]","mean [strat_P_cur] of patches"
"80","0.02","4","0.01","0.0020","0.5185185","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.6122610767751092"
"78","0.02","4","0.01","0.0020","0.5185185","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5992118190522249"
"81","0.02","4","0.01","0.0020","0.5714286","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5585914989790324"
"82","0.02","4","0.01","0.0020","0.5714286","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5672744247938489"
"83","0.02","4","0.01","0.0020","0.5714286","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5579361897964633"
"84","0.02","4","0.01","0.0020","0.5714286","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5366623217413266"
"85","0.02","4","0.01","0.0020","0.5714286","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5510819132456753"
"86","0.02","4","0.01","0.0020","0.5714286","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5443374103760823"
"87","0.02","4","0.01","0.0020","0.5714286","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5664953390078222"
"89","0.02","4","0.01","0.0020","0.5714286","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5663283566564468"
"88","0.02","4","0.01","0.0020","0.5714286","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5402850156560649"
"90","0.02","4","0.01","0.0020","0.5714286","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5689792601976738"
"91","0.02","4","0.01","0.0020","0.6206897","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5192728140742351"
"92","0.02","4","0.01","0.0020","0.6206897","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5076608445499445"
"93","0.02","4","0.01","0.0020","0.6206897","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5054972766345189"
"94","0.02","4","0.01","0.0020","0.6206897","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.4908070214986088"
"95","0.02","4","0.01","0.0020","0.6206897","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.51686115560136"
"96","0.02","4","0.01","0.0020","0.6206897","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5102370511231181"
"98","0.02","4","0.01","0.0020","0.6206897","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5025197956111674"
"97","0.02","4","0.01","0.0020","0.6206897","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.49825146172495904"
"99","0.02","4","0.01","0.0020","0.6206897","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.5013689957856077"
"100","0.02","4","0.01","0.0020","0.6206897","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.519574778816803"
"101","0.02","4","0.01","0.0020","0.6666667","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.46133054230538506"
