"BehaviorSpace results (NetLogo 5.1.0)"
"Task1_HD_spatial.nlogo"
"HD_spatial"
"12/10/2014 13:41:07:501 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","benefit","initial_propD","baseline_fitness","cost","[step]","count patches with [strategy_current = ""C""] / count patches"
"184","1","0.01","0","0.9473684","217","0"
"183","1","0.01","0","0.9473684","182","0"
"185","1","0.01","0","0.9473684","176","0"
"186","1","0.01","0","0.9473684","192","0"
"187","1","0.01","0","0.9473684","185","0"
"188","1","0.01","0","0.9473684","175","0"
"189","1","0.01","0","0.9473684","188","0"
"191","1","0.01","0","0.974359","156","0"
"190","1","0.01","0","0.9473684","188","0"
"192","1","0.01","0","0.974359","143","0"
"193","1","0.01","0","0.974359","140","0"
"194","1","0.01","0","0.974359","161","0"
"195","1","0.01","0","0.974359","169","0"
"196","1","0.01","0","0.974359","192","0"
"197","1","0.01","0","0.974359","170","0"
"198","1","0.01","0","0.974359","157","0"
"200","1","0.01","0","0.974359","162","0"
"199","1","0.01","0","0.974359","182","0"
"201","1","0.01","0","1","180","0"
"202","1","0.01","0","1","135","0"
"203","1","0.01","0","1","189","0"
"204","1","0.01","0","1","188","0"
"205","1","0.01","0","1","186","0"
"206","1","0.01","0","1","144","0"
"207","1","0.01","0","1","169","0"
"208","1","0.01","0","1","144","0"
"209","1","0.01","0","1","147","0"
"210","1","0.01","0","1","142","0"
