"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial_correct.nlogo"
"experiment"
"12/15/2014 13:38:11:059 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","cost","strategy","baseline_fitness","mutation_probability","mutation_size","benefit","initial_heterogeneity","payoff_assessment","[step]","mean [strat_P_cur] of patches"
"99","0.6206897","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.5143556229556463"
"101","0.6666667","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.4586740186144702"
"102","0.6666667","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.4525373958467419"
"103","0.6666667","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.4513190581371601"
"105","0.6666667","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.4596211281672834"
"104","0.6666667","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.4738160567748834"
"106","0.6666667","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.46906030453884373"
"107","0.6666667","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.45130103708137587"
"108","0.6666667","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.4637835306676607"
"110","0.6666667","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.46603970774676795"
"111","0.7096774","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.41497295928866756"
"109","0.6666667","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.4684691376000683"
"112","0.7096774","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.4089781708555612"
"113","0.7096774","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.41812837091598604"
"114","0.7096774","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.41295457135288366"
"115","0.7096774","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.4078984105044296"
"116","0.7096774","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.410354343845581"
"117","0.7096774","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.4087292582223737"
"118","0.7096774","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.41284558908404134"
"120","0.7096774","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.4079645790685506"
"119","0.7096774","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.4159253286078921"
"121","0.75","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.3489442804967984"
"122","0.75","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.34818008268787587"
"123","0.75","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.3534125906451356"
"125","0.75","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.3550758968237456"
"126","0.75","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.3510960609099967"
"124","0.75","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.35875216376887437"
"127","0.75","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.3606950780540459"
"128","0.75","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.35834543339079916"
"129","0.75","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.34651256103987377"
"130","0.75","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.3614431576673284"
"131","0.7878788","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.2998831641812952"
"132","0.7878788","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.30296104484343295"
"133","0.7878788","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.3012223540777132"
"134","0.7878788","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.299057695846864"
"135","0.7878788","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.3048313861916482"
"136","0.7878788","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.31164446630084164"
"137","0.7878788","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.29794710647007167"
"139","0.7878788","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.31338403352175903"
"140","0.7878788","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.3043814375221971"
"141","0.8235294","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.2540067005458372"
"138","0.7878788","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.2936184884290871"
