"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
"experiment"
"12/16/2014 12:21:56:494 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","baseline_fitness","benefit","mutation_probability","initial_heterogeneity","initial_propD","Neighborhood_size","cost","mutation_size","Mode","Game_Type","payoff_assessment","[step]","mean [strat_P_cur] of patches"
"54","0","1","0.01","0.02","0.01","12","0.4","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.73647074791094"
"55","0","1","0.01","0.02","0.01","12","0.4","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7323791034643788"
"56","0","1","0.01","0.02","0.01","12","0.4","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7203473565657124"
"57","0","1","0.01","0.02","0.01","12","0.4","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.736338038954212"
"58","0","1","0.01","0.02","0.01","12","0.4","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7388320556497122"
"60","0","1","0.01","0.02","0.01","12","0.4","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7424092690612863"
"59","0","1","0.01","0.02","0.01","12","0.4","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7272627071704353"
"61","0","1","0.01","0.02","0.01","12","0.4615385","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6826726580356958"
"62","0","1","0.01","0.02","0.01","12","0.4615385","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6787789098739302"
"63","0","1","0.01","0.02","0.01","12","0.4615385","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6721480691355736"
