"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial_correct.nlogo"
"experiment"
"12/15/2014 11:56:07:352 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","payoff_assessment","mutation_size","mutation_probability","baseline_fitness","strategy","cost","benefit","initial_heterogeneity","[step]","mean [strat_P] of patches"
"85","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.5714286","1","0.02","10000","0.6093731705349618"
"86","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.5714286","1","0.02","10000","0.6197351616865416"
"88","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.5714286","1","0.02","10000","0.6004679440606464"
"89","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.5714286","1","0.02","10000","0.5998486933671803"
"87","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.5714286","1","0.02","10000","0.6091466667493103"
"90","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.5714286","1","0.02","10000","0.6110746514661618"
"91","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6206897","1","0.02","10000","0.5522716508396212"
"92","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6206897","1","0.02","10000","0.5696063429412398"
"93","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6206897","1","0.02","10000","0.5606851000848179"
"94","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6206897","1","0.02","10000","0.580206058591636"
"95","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6206897","1","0.02","10000","0.5612526438982582"
"96","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6206897","1","0.02","10000","0.562589254478688"
"98","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6206897","1","0.02","10000","0.5550477157514716"
"99","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6206897","1","0.02","10000","0.5664199697530645"
"97","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6206897","1","0.02","10000","0.5538071320884704"
"100","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6206897","1","0.02","10000","0.5592737959370021"
"101","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6666667","1","0.02","10000","0.5237285985045508"
"102","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6666667","1","0.02","10000","0.5160774008741763"
"104","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6666667","1","0.02","10000","0.5105600289056061"
"103","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6666667","1","0.02","10000","0.5119093202102243"
"105","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6666667","1","0.02","10000","0.5091518639311664"
"106","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6666667","1","0.02","10000","0.5035457317162756"
"107","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6666667","1","0.02","10000","0.5185952030274292"
"108","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6666667","1","0.02","10000","0.5214657894880664"
"109","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6666667","1","0.02","10000","0.514987620444407"
"110","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.6666667","1","0.02","10000","0.5030269111334971"
"111","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7096774","1","0.02","10000","0.46923419795617677"
"113","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7096774","1","0.02","10000","0.4617084567184225"
"114","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7096774","1","0.02","10000","0.4642619579049311"
"112","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7096774","1","0.02","10000","0.454506068067754"
"115","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7096774","1","0.02","10000","0.45716944684207644"
"116","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7096774","1","0.02","10000","0.45779808831141444"
"117","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7096774","1","0.02","10000","0.47848921738155487"
"118","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7096774","1","0.02","10000","0.4814921654194732"
"119","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7096774","1","0.02","10000","0.4675817487509859"
"120","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7096774","1","0.02","10000","0.47142948454478406"
"121","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.75","1","0.02","10000","0.4055956716212094"
"123","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.75","1","0.02","10000","0.4012324028180501"
"122","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.75","1","0.02","10000","0.409489675404842"
"124","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.75","1","0.02","10000","0.41744847503151444"
"125","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.75","1","0.02","10000","0.4125078169694274"
"126","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.75","1","0.02","10000","0.41446732114834994"
"128","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.75","1","0.02","10000","0.4101009523670831"
"129","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.75","1","0.02","10000","0.4020276849827755"
"127","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.75","1","0.02","10000","0.42013694532242135"
"130","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.75","1","0.02","10000","0.4150323725095655"
"131","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7878788","1","0.02","10000","0.38491919384801043"
